PowerSupply,LM1117,LM7805,Time
3.77,3.28,2.45,33
3.47,3.27,2.43,1054
2.93,3.27,2.30,2078
2.81,3.27,2.20,3102
2.42,2.61,1.81,4125
1.99,1.59,1.29,5149
1.65,0.81,0.90,6172
1.38,0.00,0.34,7196
1.10,0.00,0.00,8219
0.78,0.00,0.00,9243
0.49,0.00,0.00,10266
0.34,0.00,0.00,11291
0.19,0.00,0.00,12315
0.01,0.00,0.00,13340
0.01,0.00,0.00,14365
0.16,0.00,0.00,15389
0.20,0.00,0.00,16414
0.23,0.00,0.00,17438
0.40,0.00,0.00,18463
0.46,0.00,0.00,19487
0.63,0.00,0.00,20512
0.70,0.00,0.00,21536
0.81,0.00,0.00,22561
0.95,0.00,0.00,23586
1.00,0.00,0.00,24610
1.08,0.00,0.00,25635
1.19,0.00,0.00,26659
1.25,0.00,0.02,27684
1.43,0.05,0.39,28708
1.64,0.75,0.87,29733
1.84,1.47,1.23,30758
2.05,1.60,1.30,31782
2.22,1.66,1.33,32807
2.44,2.65,1.83,33832
2.57,2.88,1.95,34856
2.73,3.21,2.11,35881
3.01,3.27,2.39,36905
3.23,3.27,2.43,37931
3.45,3.27,2.44,38956
3.59,3.27,2.44,39980
3.77,3.27,2.44,41005
3.82,3.27,2.43,42030
3.82,3.27,2.44,43054
3.59,3.27,2.44,44079
3.10,3.27,2.44,45103
2.83,3.27,2.21,46128
2.50,2.76,1.89,47153
2.19,2.16,1.59,48177
2.09,1.97,1.49,49202
1.94,1.59,1.29,50227
1.78,1.38,1.19,51251
1.61,0.63,0.80,52276
1.44,0.11,0.44,53300
1.28,0.00,0.08,54325
1.12,0.00,0.00,55350
0.89,0.00,0.00,56374
0.71,0.00,0.00,57399
0.47,0.00,0.00,58423
0.26,0.00,0.00,59448
0.00,0.00,0.00,60472
0.00,0.00,0.00,61497
0.17,0.00,0.00,62522
0.36,0.00,0.00,63546
0.57,0.00,0.00,64571
0.82,0.00,0.00,65595
1.09,0.00,0.00,66620
1.30,0.00,0.04,67644
1.58,0.53,0.75,68669
1.82,1.44,1.21,69694
2.12,1.61,1.31,70718
2.43,2.61,1.81,71743
2.71,3.16,2.09,72767
3.01,3.27,2.38,73792
3.31,3.27,2.43,74817
3.58,3.27,2.43,75841
3.69,3.27,2.43,76866
3.78,3.27,2.44,77891
3.79,3.27,2.44,78915
3.74,3.27,2.44,79940
3.65,3.27,2.44,80964
3.64,3.27,2.44,81989
3.54,3.27,2.44,83014
3.24,3.27,2.44,84038
3.15,3.27,2.44,85063
3.10,3.27,2.43,86088
2.99,3.27,2.37,87112
2.79,3.27,2.17,88137
2.58,2.92,1.97,89162
2.45,2.66,1.84,90186
2.29,2.35,1.68,91211
2.00,1.59,1.30,92235
1.73,1.17,1.08,93260
1.43,0.09,0.42,94285
1.20,0.00,0.05,95309
0.93,0.00,0.00,96334
0.79,0.00,0.00,97358
0.57,0.00,0.00,98383
0.39,0.00,0.00,99408
0.04,0.00,0.00,100432
0.00,0.00,0.00,101458
0.00,0.00,0.00,102483
0.28,0.00,0.00,103510
0.83,0.00,0.00,104536
1.49,0.29,0.58,105561
1.61,0.63,0.80,106587
1.83,1.45,1.23,107613
2.41,2.57,1.79,108638
2.81,3.27,2.19,109664
3.09,3.27,2.43,110690
3.36,3.27,2.44,111715
3.44,3.27,2.44,112741
3.65,3.27,2.44,113767
3.88,3.27,2.44,114792
3.88,3.27,2.44,115818
3.85,3.27,2.44,116844
3.83,3.27,2.44,117869
3.82,3.27,2.44,118895
3.82,3.27,2.44,119921
3.25,3.27,2.44,120947
2.90,3.27,2.28,121972
2.90,3.27,2.28,122998
2.91,3.27,2.29,124024
2.91,3.27,2.28,125049
3.44,3.27,2.44,126075
3.44,3.27,2.43,127101
3.48,3.27,2.44,128126
3.90,3.27,2.44,129153
3.90,3.27,2.44,130179
3.49,3.27,2.44,131204
3.49,3.27,2.44,132230
3.54,3.27,2.44,133256
3.77,3.27,2.44,134282
3.75,3.27,2.43,135307
3.53,3.27,2.44,136333
3.79,3.27,2.44,137359
3.79,3.27,2.44,138384
3.62,3.27,2.44,139410
3.62,3.27,2.44,140436
3.67,3.27,2.43,141461
3.67,3.27,2.43,142487
3.67,3.27,2.43,143513
3.67,3.27,2.44,144539
3.67,3.27,2.44,145564
3.68,3.27,2.44,146590
